epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.118,1.33354,1.67712,1.41975,0.17028,0.29428,0.11862,0.06717,1.58715,6.30115,1.78061,0.000548721,0.000548721,0.000548721
2,215.595,1.27341,1.32176,1.38906,0.31699,0.11355,0.05824,0.02645,2.46389,6.92456,2.49665,0.00108252,0.00108252,0.00108252
3,320.975,1.22602,1.25239,1.34661,0.33371,0.34968,0.25015,0.13477,1.84274,3.04215,1.99976,0.00159432,0.00159432,0.00159432
4,429.031,1.18967,1.1646,1.33125,0.39752,0.44936,0.35398,0.22039,1.45841,1.96954,1.54507,0.00156798,0.00156798,0.00156798
5,536.93,1.13071,1.08278,1.29406,0.51494,0.40487,0.39111,0.25469,1.35585,1.76768,1.43886,0.00153497,0.00153497,0.00153497
6,653.131,1.12222,1.08424,1.29658,0.57969,0.5456,0.5194,0.3542,1.15145,1.34047,1.348,0.00150197,0.00150197,0.00150197
7,763.429,1.08647,1.01982,1.26506,0.585,0.48092,0.49295,0.34271,1.16388,1.39511,1.32812,0.00146896,0.00146896,0.00146896
8,869.091,1.05994,0.99054,1.25523,0.54635,0.52491,0.52391,0.36686,1.11515,1.36647,1.2972,0.00143595,0.00143595,0.00143595
9,978.344,1.03632,0.94572,1.22585,0.60935,0.51887,0.54006,0.38041,1.129,1.38998,1.31028,0.00140295,0.00140295,0.00140295
10,1087.57,1.01139,0.90192,1.20993,0.61876,0.53941,0.55889,0.39706,1.06494,1.20765,1.27071,0.00136994,0.00136994,0.00136994
11,1196.62,0.98414,0.88791,1.2073,0.65611,0.56891,0.59405,0.41424,1.10537,1.17182,1.30209,0.00133693,0.00133693,0.00133693
12,1304.71,0.99218,0.89079,1.20794,0.6635,0.58764,0.57169,0.39778,1.23515,1.15237,1.35793,0.00130393,0.00130393,0.00130393
13,1410.84,0.96245,0.85524,1.18288,0.68905,0.55617,0.59521,0.42623,1.07902,1.17681,1.29315,0.00127092,0.00127092,0.00127092
14,1523.47,0.97415,0.85715,1.18612,0.61856,0.53013,0.54349,0.38349,1.13982,1.27172,1.318,0.00123791,0.00123791,0.00123791
15,1631.34,0.95651,0.80424,1.18506,0.66292,0.55673,0.577,0.41512,1.09435,1.20913,1.29558,0.00120491,0.00120491,0.00120491
16,1737.03,0.9623,0.81156,1.19104,0.64694,0.55907,0.60027,0.43657,0.99332,1.1465,1.2268,0.0011719,0.0011719,0.0011719
17,1849.92,0.9448,0.80165,1.17099,0.63486,0.5107,0.5395,0.37894,1.12239,1.26738,1.30777,0.00113889,0.00113889,0.00113889
18,1955.9,0.93708,0.80233,1.17587,0.69236,0.58335,0.63606,0.47596,0.97614,1.02287,1.20391,0.00110589,0.00110589,0.00110589
19,2067.94,0.92138,0.77969,1.16234,0.62912,0.50437,0.55499,0.4049,1.06676,1.25365,1.27446,0.00107288,0.00107288,0.00107288
20,2176.04,0.91302,0.77251,1.15601,0.6652,0.5763,0.61073,0.46475,0.96318,1.04247,1.22322,0.00103987,0.00103987,0.00103987
21,2281.57,0.89923,0.75924,1.15781,0.71945,0.58314,0.64555,0.48558,0.93346,1.01565,1.19302,0.00100687,0.00100687,0.00100687
22,2398.18,0.8833,0.72719,1.13611,0.69675,0.57917,0.63145,0.47783,0.94613,1.0485,1.19206,0.000973861,0.000973861,0.000973861
23,2504.45,0.87624,0.70715,1.13786,0.70955,0.59969,0.64815,0.4804,1.00444,0.97245,1.24234,0.000940855,0.000940855,0.000940855
24,2609.96,0.87759,0.7202,1.14123,0.64617,0.57113,0.59569,0.42692,1.08425,1.1529,1.29113,0.000907848,0.000907848,0.000907848
25,2715.47,0.874,0.70025,1.13496,0.7238,0.52111,0.58658,0.43811,0.97156,1.18003,1.23889,0.000874842,0.000874842,0.000874842
26,2823.46,0.84717,0.68645,1.11488,0.7543,0.57413,0.65591,0.48885,0.96741,1.02655,1.2079,0.000841835,0.000841835,0.000841835
27,2948.93,0.85584,0.6635,1.11133,0.7165,0.54114,0.57916,0.43025,1.04664,1.2248,1.26559,0.000808828,0.000808828,0.000808828
28,3059.42,0.83991,0.67939,1.10654,0.74193,0.59972,0.66167,0.50942,0.9285,0.99204,1.19749,0.000775822,0.000775822,0.000775822
29,3167.2,0.82287,0.64495,1.10173,0.75824,0.57505,0.66673,0.50929,0.90866,0.96441,1.19479,0.000742815,0.000742815,0.000742815
30,3275.07,0.82058,0.63762,1.09504,0.74589,0.56791,0.65222,0.49596,0.92468,0.9907,1.19653,0.000709809,0.000709809,0.000709809
31,3383.79,0.80907,0.62675,1.0968,0.72597,0.61003,0.65978,0.5027,0.9171,0.9694,1.19765,0.000676802,0.000676802,0.000676802
32,3491.07,0.81879,0.62176,1.10143,0.69481,0.56685,0.62626,0.48565,0.90864,1.05364,1.18257,0.000643795,0.000643795,0.000643795
33,3596.8,0.80357,0.61167,1.09411,0.68024,0.59264,0.64009,0.46946,0.99972,1.07938,1.24606,0.000610789,0.000610789,0.000610789
34,3703.1,0.8123,0.62048,1.09585,0.68776,0.58741,0.62195,0.47834,0.9382,1.07482,1.20443,0.000577782,0.000577782,0.000577782
35,3809.1,0.79312,0.60361,1.08125,0.74827,0.61519,0.66304,0.51262,0.86864,0.94375,1.16998,0.000544776,0.000544776,0.000544776
36,3919.56,0.78934,0.58322,1.08301,0.72623,0.57329,0.6096,0.46784,0.93604,1.06773,1.23819,0.000511769,0.000511769,0.000511769
37,4029.94,0.77465,0.56825,1.06369,0.75511,0.61149,0.6818,0.52708,0.86805,0.95233,1.15459,0.000478762,0.000478762,0.000478762
38,4153.09,0.78068,0.57157,1.07609,0.68682,0.61148,0.63494,0.49058,0.91621,1.09062,1.19786,0.000445756,0.000445756,0.000445756
39,4269.98,0.76652,0.55369,1.06348,0.74063,0.60135,0.65617,0.51,0.88019,0.98721,1.16823,0.000412749,0.000412749,0.000412749
40,4380.86,0.75104,0.54227,1.05983,0.77857,0.60743,0.69944,0.53973,0.87818,0.89873,1.17092,0.000379743,0.000379743,0.000379743
41,4491.76,0.72825,0.51477,1.04567,0.70723,0.59609,0.63464,0.48561,0.96176,1.10309,1.24964,0.000346736,0.000346736,0.000346736
42,4597.21,0.71939,0.48954,1.03448,0.7151,0.61805,0.64675,0.49642,0.9002,1.03256,1.22187,0.000313729,0.000313729,0.000313729
43,4717.68,0.70712,0.47831,1.0247,0.75979,0.61194,0.67183,0.52342,0.87725,0.96129,1.17543,0.000280723,0.000280723,0.000280723
44,4832.86,0.7011,0.46596,1.01995,0.77359,0.61519,0.68095,0.53493,0.87462,0.93993,1.18996,0.000247716,0.000247716,0.000247716
45,4941.3,0.69188,0.4568,1.01922,0.787,0.60798,0.686,0.53994,0.85983,0.94302,1.18817,0.00021471,0.00021471,0.00021471
46,5046.53,0.67973,0.44731,1.01682,0.71913,0.58882,0.64636,0.49892,0.91743,1.06538,1.23173,0.000181703,0.000181703,0.000181703
47,5152.26,0.67638,0.44221,1.01373,0.7567,0.59357,0.66997,0.5252,0.8977,1.00378,1.21275,0.000148696,0.000148696,0.000148696
48,5265.62,0.67467,0.4325,1.014,0.76069,0.60929,0.67953,0.53513,0.85929,0.96403,1.1857,0.00011569,0.00011569,0.00011569
49,5374.25,0.65699,0.41541,1.00099,0.75011,0.61819,0.68206,0.52801,0.88676,0.96919,1.22251,8.26832e-05,8.26832e-05,8.26832e-05
50,5481.76,0.66017,0.41915,1.00808,0.7552,0.61856,0.67878,0.53067,0.87282,0.95815,1.21321,4.96766e-05,4.96766e-05,4.96766e-05
